,q_and_a,cue_text,answer_raw_text,StimulusId,Action,Condition,Answer,Percent,Q_Nchar,Q_Nword,Q_Nsyll,Q_Freq,Q_Body,Q_Spec,Q_Conc,Q_Imag,A_Nchar,A_Nword,A_Nsyll,A_Freq,A_Body,A_Spec,A_Conc,A_Imag
132,Why use a brush? Paint a picture.,use a brush,paint a picture,132,9,1,1,87,9,3,4,3.3,5.880952381,5.939393939,6.425287356,6.833333333,13,3,4,3.4,4,4.675675676,6.134146341,6.375
133,Why use a camera? Give to charity.,use a camera,give to charity,133,1,2,2,97,10,3,5,3.8,4.857142857,5.513513514,6.360465116,6.689189189,13,3,5,3.8,3.642857143,3.972972973,4.781609195,4.578947368
134,Why use a comb? Write a song.,use a comb,write a song,134,19,1,2,100,8,3,3,3.2,5.939759036,5.828571429,6.814814815,6.697368421,10,3,3,3.7,2.630952381,4.378378378,5.08045977,4.921052632
135,Why use a remote? Watch television.,use a remote,watch television,135,28,1,1,100,10,3,4,3.5,5.641975309,6,6.505882353,6.780821918,15,2,5,3.7,3.595238095,5.189189189,5.872093023,6.869565217
136,Why use chalk? Get fit.,use chalk,get fit,136,23,1,2,94,8,2,2,3.2,5.638554217,5.324324324,6.630952381,6.791666667,6,2,2,4.2,5.416666667,3.216216216,4.448275862,4.394736842
137,Why use credit cards? Go shopping.,use credit cards,go shopping,137,26,1,1,97,14,3,5,3.7,4.892857143,5.285714286,6.214285714,6.540540541,10,2,3,3.6,5,3.918918919,5.476744186,6.136986301
138,Why wash ones hands? Kill germs.,wash ones hands,kill germs,138,10,1,1,90,14,3,3,3.7,5.915662651,6.571428571,6.662650602,6.861111111,9,2,2,3.3,5.341463415,4.567567568,4.586206897,3.881578947
139,Why watch television? Show competence.,watch television,show competence,139,28,2,2,97,15,2,5,3.7,3.595238095,5.189189189,5.872093023,6.869565217,14,2,4,2.9,2.702380952,2.028571429,2.352941176,2.947368421
140,Why wear ties? Dress formally.,wear ties,dress formally,140,27,1,1,97,8,2,2,3.1,5.746987952,5.72972973,6.595238095,6.337837838,13,2,4,2.5,5.361445783,4.638888889,5.73255814,6.106666667
141,Why write a poem? Express an idea.,write a poem,express an idea,141,24,2,1,100,10,3,3,3.3,2.619047619,4.756756757,5.229885057,5.302631579,13,3,5,3.5,2.243902439,2.432432432,2.209302326,3.289473684
142,Why write a song? Seek advice.,write a song,seek advice,142,19,2,2,93,10,3,3,3.7,2.630952381,4.378378378,5.08045977,4.921052632,10,2,3,3.2,2.583333333,2.722222222,2.91954023,3.802631579
143,Why write an email? Send a message.,write an email,send a message,143,15,3,1,97,12,3,4,2.9,3.619047619,5.416666667,6.034883721,6.315068493,12,3,4,3.8,3.833333333,3.621621622,4.91954023,5.413333333
